ts,tsIso,elapsedSec,eventType,participantCode,role,msg
1779769171806,2026-05-26T04:19:31.806000+00:00,0.0,INCIDENT_CREATED,,,Incident created
1779769172306,2026-05-26T04:19:32.306000+00:00,0.5,AED_SITE_UPDATED,,,AED site updated (二楼服务台 AED)
1779769172426,2026-05-26T04:19:32.426000+00:00,0.62,AED_SITE_UPDATED,,,AED site updated (校门值班室 AED)
1779769172806,2026-05-26T04:19:32.806000+00:00,1.0,beta_BOOTSTRAPPED,,,beta scenario bootstrapped
1779769175806,2026-05-26T04:19:35.806000+00:00,4.0,PATIENT_DESIGNATED,P001,PATIENT,Patient designated by dashboard (P001)
1779769176056,2026-05-26T04:19:36.056000+00:00,4.25,DISPATCH_STARTED,,,AI dispatching started
1779769179586,2026-05-26T04:19:39.586000+00:00,7.78,ROLE_ASSIGNED,R002-PRIME,PRIME,PRIME assigned (R002-PRIME) via fallback
1779769179696,2026-05-26T04:19:39.696000+00:00,7.89,ROLE_ASSIGNED,R002-RUNNER,RUNNER,RUNNER assigned (R002-RUNNER) via fallback
1779769179806,2026-05-26T04:19:39.806000+00:00,8.0,ROLE_ASSIGNED,R003-GUIDE,GUIDE,GUIDE assigned (R003-GUIDE) via fallback
1779769188806,2026-05-26T04:19:48.806000+00:00,17.0,CPR_STARTED,R002-PRIME,PRIME,CPR started by R002-PRIME
1779769206806,2026-05-26T04:20:06.806000+00:00,35.0,AED_PICKED,R002-RUNNER,RUNNER,AED picked by R002-RUNNER
1779769238806,2026-05-26T04:20:38.806000+00:00,67.0,AED_DELIVERED,R002-RUNNER,RUNNER,AED delivered by R002-RUNNER
1779769245806,2026-05-26T04:20:45.806000+00:00,74.0,AED_ANALYSIS_STARTED,R002-PRIME,PRIME,AED analysis started by R002-PRIME
1779769291806,2026-05-26T04:21:31.806000+00:00,120.0,AMBULANCE_ARRIVED,R003-GUIDE,GUIDE,Ambulance arrived (reported by R003-GUIDE)
1779769314806,2026-05-26T04:21:54.806000+00:00,143.0,HANDOVER_COMPLETED,R003-GUIDE,GUIDE,Handover completed by R003-GUIDE
