ts,tsIso,elapsedSec,eventType,participantCode,role,msg
1779769156163,2026-05-26T04:19:16.163000+00:00,0.0,INCIDENT_CREATED,,,Incident created
1779769156663,2026-05-26T04:19:16.663000+00:00,0.5,AED_SITE_UPDATED,,,AED site updated (二楼服务台 AED)
1779769156783,2026-05-26T04:19:16.783000+00:00,0.62,AED_SITE_UPDATED,,,AED site updated (校门值班室 AED)
1779769157163,2026-05-26T04:19:17.163000+00:00,1.0,DEMO_BOOTSTRAPPED,,,Demo scenario bootstrapped
1779769160163,2026-05-26T04:19:20.163000+00:00,4.0,PATIENT_DESIGNATED,P001,PATIENT,Patient designated by dashboard (P001)
1779769160413,2026-05-26T04:19:20.413000+00:00,4.25,DISPATCH_STARTED,,,AI dispatching started
1779769164943,2026-05-26T04:19:24.943000+00:00,8.78,ROLE_ASSIGNED,R005-PRIME,PRIME,PRIME assigned (R005-PRIME) via fallback
1779769165053,2026-05-26T04:19:25.053000+00:00,8.89,ROLE_ASSIGNED,R002-RUNNER,RUNNER,RUNNER assigned (R002-RUNNER) via fallback
1779769165163,2026-05-26T04:19:25.163000+00:00,9.0,ROLE_ASSIGNED,R003-GUIDE,GUIDE,GUIDE assigned (R003-GUIDE) via fallback
1779769180163,2026-05-26T04:19:40.163000+00:00,24.0,CPR_STARTED,R005-PRIME,PRIME,CPR started by R005-PRIME
1779769200163,2026-05-26T04:20:00.163000+00:00,44.0,AED_PICKED,R002-RUNNER,RUNNER,AED picked by R002-RUNNER
1779769242163,2026-05-26T04:20:42.163000+00:00,86.0,AED_DELIVERED,R002-RUNNER,RUNNER,AED delivered by R002-RUNNER
1779769251163,2026-05-26T04:20:51.163000+00:00,95.0,AED_ANALYSIS_STARTED,R005-PRIME,PRIME,AED analysis started by R005-PRIME
1779769262163,2026-05-26T04:21:02.163000+00:00,106.0,AED_SHOCK_DELIVERED,R005-PRIME,PRIME,AED shock delivered by R005-PRIME
1779769291163,2026-05-26T04:21:31.163000+00:00,135.0,AMBULANCE_ARRIVED,R003-GUIDE,GUIDE,Ambulance arrived (reported by R003-GUIDE)
1779769316163,2026-05-26T04:21:56.163000+00:00,160.0,HANDOVER_COMPLETED,R003-GUIDE,GUIDE,Handover completed by R003-GUIDE
