ts,tsIso,elapsedSec,eventType,participantCode,role,msg
1779769162368,2026-05-26T04:19:22.368000+00:00,0.0,INCIDENT_CREATED,,,Incident created
1779769162868,2026-05-26T04:19:22.868000+00:00,0.5,AED_SITE_UPDATED,,,AED site updated (二楼服务台 AED)
1779769162988,2026-05-26T04:19:22.988000+00:00,0.62,AED_SITE_UPDATED,,,AED site updated (校门值班室 AED)
1779769163368,2026-05-26T04:19:23.368000+00:00,1.0,demo_BOOTSTRAPPED,,,demo scenario bootstrapped
1779769166368,2026-05-26T04:19:26.368000+00:00,4.0,PATIENT_DESIGNATED,P001,PATIENT,Patient designated by dashboard (P001)
1779769166618,2026-05-26T04:19:26.618000+00:00,4.25,DISPATCH_STARTED,,,AI dispatching started
1779769171148,2026-05-26T04:19:31.148000+00:00,8.78,ROLE_ASSIGNED,R001-PRIME,PRIME,PRIME assigned (R001-PRIME) via fallback
1779769171258,2026-05-26T04:19:31.258000+00:00,8.89,ROLE_ASSIGNED,R002-RUNNER,RUNNER,RUNNER assigned (R002-RUNNER) via fallback
1779769171368,2026-05-26T04:19:31.368000+00:00,9.0,ROLE_ASSIGNED,R003-GUIDE,GUIDE,GUIDE assigned (R003-GUIDE) via fallback
1779769184368,2026-05-26T04:19:44.368000+00:00,22.0,CPR_STARTED,R001-PRIME,PRIME,CPR started by R001-PRIME
1779769208368,2026-05-26T04:20:08.368000+00:00,46.0,AED_PICKED,R002-RUNNER,RUNNER,AED picked by R002-RUNNER
1779769244368,2026-05-26T04:20:44.368000+00:00,82.0,AED_DELIVERED,R002-RUNNER,RUNNER,AED delivered by R002-RUNNER
1779769252368,2026-05-26T04:20:52.368000+00:00,90.0,AED_ANALYSIS_STARTED,R001-PRIME,PRIME,AED analysis started by R001-PRIME
1779769292368,2026-05-26T04:21:32.368000+00:00,130.0,AMBULANCE_ARRIVED,R003-GUIDE,GUIDE,Ambulance arrived (reported by R003-GUIDE)
1779769314368,2026-05-26T04:21:54.368000+00:00,152.0,HANDOVER_COMPLETED,R003-GUIDE,GUIDE,Handover completed by R003-GUIDE
