ts,tsIso,elapsedSec,eventType,participantCode,role,msg
1779769183236,2026-05-26T04:19:43.236000+00:00,0.0,INCIDENT_CREATED,,,Incident created
1779769183736,2026-05-26T04:19:43.736000+00:00,0.5,AED_SITE_UPDATED,,,AED site updated (二楼服务台 AED)
1779769183856,2026-05-26T04:19:43.856000+00:00,0.62,AED_SITE_UPDATED,,,AED site updated (校门值班室 AED)
1779769184236,2026-05-26T04:19:44.236000+00:00,1.0,beta_BOOTSTRAPPED,,,beta scenario bootstrapped
1779769187236,2026-05-26T04:19:47.236000+00:00,4.0,PATIENT_DESIGNATED,P001,PATIENT,Patient designated by dashboard (P001)
1779769187486,2026-05-26T04:19:47.486000+00:00,4.25,DISPATCH_STARTED,,,AI dispatching started
1779769192016,2026-05-26T04:19:52.016000+00:00,8.78,ROLE_ASSIGNED,R003-PRIME,PRIME,PRIME assigned (R003-PRIME) via fallback
1779769192126,2026-05-26T04:19:52.126000+00:00,8.89,ROLE_ASSIGNED,R002-RUNNER,RUNNER,RUNNER assigned (R002-RUNNER) via fallback
1779769192236,2026-05-26T04:19:52.236000+00:00,9.0,ROLE_ASSIGNED,R003-GUIDE,GUIDE,GUIDE assigned (R003-GUIDE) via fallback
1779769203236,2026-05-26T04:20:03.236000+00:00,20.0,CPR_STARTED,R003-PRIME,PRIME,CPR started by R003-PRIME
1779769224236,2026-05-26T04:20:24.236000+00:00,41.0,AED_PICKED,R002-RUNNER,RUNNER,AED picked by R002-RUNNER
1779769270236,2026-05-26T04:21:10.236000+00:00,87.0,AMBULANCE_ARRIVED,R003-GUIDE,GUIDE,Ambulance arrived (reported by R003-GUIDE)
1779769285236,2026-05-26T04:21:25.236000+00:00,102.0,AED_DELIVERED,R002-RUNNER,RUNNER,AED delivered by R002-RUNNER
1779769293236,2026-05-26T04:21:33.236000+00:00,110.0,AED_ANALYSIS_STARTED,R003-PRIME,PRIME,AED analysis started by R003-PRIME
1779769315236,2026-05-26T04:21:55.236000+00:00,132.0,HANDOVER_COMPLETED,R003-GUIDE,GUIDE,Handover completed by R003-GUIDE
