roundId,incidentId,item,systemValue,observerValue,score1to5,notes
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,round_id,,R003,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,scenario_location,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,observer_name,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,trigger_to_dispatch_seconds,5,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,trigger_to_first_responder_response_seconds,16,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,trigger_to_cpr_seconds,16,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,trigger_to_aed_pickup_seconds,37,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,trigger_to_aed_delivery_seconds,98,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,trigger_to_ambulance_handover_seconds,83,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,role_assignment_clarity,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,task_instruction_clarity,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,stress_scenario_operability,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,dispatch_reasonableness,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,aed_location_prompt_usefulness,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,data_record_completeness,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,observed_blocking_step,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,unsafe_or_misleading_copy,,,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,participant_open_feedback,,,,
