roundId,incidentId,item,systemValue,observerValue,score1to5,notes
R001,1b6545bb-c46d-4add-baae-9143a6a18324,round_id,,R001,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,scenario_location,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,observer_name,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,trigger_to_dispatch_seconds,1,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,trigger_to_first_responder_response_seconds,0,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,trigger_to_cpr_seconds,2,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,trigger_to_aed_pickup_seconds,6,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,trigger_to_aed_delivery_seconds,9,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,trigger_to_ambulance_handover_seconds,12,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,role_assignment_clarity,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,task_instruction_clarity,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,stress_scenario_operability,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,dispatch_reasonableness,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,aed_location_prompt_usefulness,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,data_record_completeness,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,observed_blocking_step,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,unsafe_or_misleading_copy,,,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,participant_open_feedback,,,,
